traj_idx	step_idx	n_tokens	mean_nll
39	9	14	2.091730526515416
39	10	194	2.4634666836138854
39	11	403	1.6777377069440136
39	12	111	0.9856321317655546
40	0	226	4.257956175677545
40	1	14	2.3432017735072543
40	2	218	2.9289340797914276
40	3	14	2.578723907470703
40	4	219	1.6523529470783391
40	5	14	2.2112646102905273
40	6	191	1.7915753269694863
40	7	13	2.220316079946665
40	8	116	1.75085370293979
40	9	259	1.7421241082740107
40	10	77	1.2366545045530641
41	0	229	4.257631526763783
41	1	14	2.3756021772112166
41	2	179	2.4989264291092006
41	3	14	2.4294700622558594
41	4	180	1.7686457316080728
41	5	14	2.3708403451102122
41	6	225	1.606553955078125
41	7	14	2.3133228846958707
41	8	76	2.0238524989077917
41	9	390	2.311693083934295
41	10	434	2.1336557414674537
42	0	190	4.4903403834292765
42	1	14	2.4470010484967912
42	2	167	3.4216155092159433
42	3	14	2.4019508361816406
42	4	151	1.5421497269182016
42	5	14	2.125258309500558
42	6	137	1.2629690796789461
42	7	14	1.9296022142682756
42	8	164	0.9146358210866045
42	9	14	1.914644377572196
42	10	162	1.4945648570119598
42	11	14	1.9185502188546317
42	12	160	0.599271583557129
42	13	14	1.9765856606619698
42	14	159	0.36980678150488894
42	15	14	2.0797813960484097
42	16	166	1.0395491266825112
42	17	12	2.5036191940307617
42	18	162	0.4584570519718123
42	19	14	2.094442231314523
42	20	215	1.921518441133721
42	21	232	2.653175617086476
42	22	87	2.683619005926724
43	0	226	4.257956175677545
43	1	14	2.3432017735072543
43	2	147	2.9509198454772534
43	3	14	2.474033900669643
43	4	173	1.4859986057171244
43	5	14	2.0109188897269115
43	6	183	2.802209405951161
43	7	14	1.9263199397495814
43	8	168	2.112354278564453
43	9	14	1.8981695175170898
43	10	205	1.1799794266863568
43	11	14	1.784332275390625
43	12	148	2.054706470386402
43	13	263	2.327727459229444
43	14	87	0.5335284265978583
44	0	238	4.2922068363478205
44	1	14	2.368889127458845
44	2	194	2.7050432028229703
44	3	14	2.6010943821498325
44	4	210	1.8728384835379464
44	5	14	2.2750584738595143
44	6	270	1.617557327835648
44	7	14	2.256725175040109
44	8	155	1.7651688114289315
44	9	14	1.9007462092808314
44	10	289	2.0005170036764706
44	11	12	2.298524538675944
44	12	110	1.3990853049538352
44	13	272	1.989451240090763
44	14	87	1.0727591679014008
45	0	241	3.9952896561365403
45	1	14	2.4817292349679128
45	2	198	2.904123325540562
45	3	14	2.5519539969308034
45	4	310	2.591185735887097
45	5	12	2.3639818827311196
45	6	316	0.29267830184743376
45	7	14	2.453045163835798
45	8	241	0.8979521312159622
45	9	12	2.3766918182373047
45	10	316	0.15351826631570165
45	11	14	2.0542887278965543
45	12	241	0.18111718838640267
45	13	12	2.2461417516072593
45	14	316	0.140489711037165
45	15	14	2.027866636003767
45	16	241	0.16209112460187858
45	17	14	2.2043112346104214
45	18	195	1.3258854792668269
45	19	12	2.134716351826986
45	20	316	0.14028202732907066
45	21	14	2.102418763296945
45	22	241	0.16375013802556082
45	23	13	2.9679266122671275
45	24	194	0.25592041015625
45	25	14	2.3202236720493863
45	26	175	0.6953388323102678
45	27	14	2.2344304493495395
45	28	195	0.2202276572203025
45	29	14	2.3862405504499162
45	30	195	0.21489737094976963
45	31	14	2.224637304033552
45	32	195	0.20419878837389824
45	33	14	2.2587476457868303
45	34	195	0.1973976330879407
45	35	14	2.214583260672433
45	36	195	0.19724817520532853
45	37	14	2.196793964930943
45	38	195	0.19747975667317708
45	39	12	2.4778122901916504
45	40	316	0.12708832946004747
45	41	14	2.265934262956892
45	42	241	0.17188389568408
45	43	14	2.1562652587890625
45	44	195	0.19687726925580928
45	45	14	2.265778132847377
45	46	195	0.1999128684019431
45	47	14	2.0928288868495395
45	48	195	0.19278323833759015
45	49	14	2.1407784053257535
45	50	195	0.20030038295648037
45	51	12	2.615178902943929
45	52	316	0.13180294519738306
45	53	14	2.126462936401367
45	54	241	0.16861906882638258
45	55	14	2.1909923553466797
45	56	195	0.20095977783203126
45	57	380	2.509684351870888
45	58	99	1.8318167021780303
46	0	238	3.866801029493829
46	1	14	2.433713640485491
46	2	170	2.765919225356158
46	3	14	2.4364564078194753
46	4	194	1.836293643282861
46	5	14	2.2648468017578125
46	6	157	1.5881608124751194
46	7	13	2.3734312791090746
46	8	199	1.0545608290475816
46	9	14	2.340090887887137
46	10	393	1.3882174504015585
46	11	14	2.1730164119175504
46	12	393	1.6915951017811706
46	13	13	2.163754389836238
46	14	12	4.95309321085612
46	15	363	2.4226649260717976
46	16	68	2.5261629889993107
47	0	241	4.426517217485737
47	1	14	2.4115943908691406
47	2	208	2.4471415006197414
47	3	14	2.3472537994384766
47	4	275	2.6744380326704547
47	5	14	2.100778579711914
47	6	179	1.4934498025052374
47	7	14	2.002448354448591
47	8	168	1.2313351404099238
47	9	14	1.971188953944615
47	10	251	1.5334579650149402
47	11	14	1.8561320986066545
47	12	88	1.3523831800981
47	13	14	2.087247576032366
47	14	88	0.4972272352738814
47	15	14	2.026749474661691
47	16	88	0.47159814834594727
47	17	14	1.9923319135393416
47	18	88	0.46451863375577057
47	19	14	1.935372761317662
47	20	88	0.4560637040571733
