dataset	model	subset	position	c_begin	c_end	layer_range	w	seed	gamma	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.5	0.20689655172413793	0.5172413793103449	0.0	0.6666666666666666
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.6	0.13793103448275862	0.4827586206896552	0.0	0.6666666666666666
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.7	0.13793103448275862	0.4827586206896552	0.0	0.6666666666666666
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.8	0.13793103448275862	0.4827586206896552	0.0	0.5833333333333334
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	0.9	0.10344827586206896	0.4482758620689655	0.0	0.5833333333333334
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	14	1.0	0.10344827586206896	0.4482758620689655	0.0	0.5833333333333334
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.0	0.27586206896551724	0.6896551724137931	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.1	0.2413793103448276	0.6551724137931034	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.2	0.2413793103448276	0.6551724137931034	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.3	0.2413793103448276	0.6551724137931034	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.4	0.1724137931034483	0.5517241379310345	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.5	0.1724137931034483	0.5517241379310345	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.6	0.1724137931034483	0.5517241379310345	0.08333333333333333	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.7	0.1724137931034483	0.5517241379310345	0.0	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.8	0.1724137931034483	0.5517241379310345	0.0	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	0.9	0.1724137931034483	0.5517241379310345	0.0	0.5
ww	deepseek-8b	hand-crafted	act/31	0	4	8-16	all	15	1.0	0.1724137931034483	0.5517241379310345	0.0	0.5
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.0	0.21739130434782608	0.6304347826086957	0.16666666666666666	0.5555555555555556
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.1	0.21739130434782608	0.6521739130434783	0.1111111111111111	0.5
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.2	0.21739130434782608	0.6304347826086957	0.1111111111111111	0.5
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.3	0.21739130434782608	0.6304347826086957	0.05555555555555555	0.5
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.4	0.21739130434782608	0.6086956521739131	0.05555555555555555	0.5
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.5	0.21739130434782608	0.6304347826086957	0.05555555555555555	0.5
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.6	0.21739130434782608	0.6304347826086957	0.05555555555555555	0.5
traceelephant	qwen3.5-9b	magentic	act/23	0	2	6-8	4	15	0.7	0.21739130434782608	0.6521739130434783	0.05555555555555555	0.5
