dataset	model	subset	seeds	position	c_begin	c_end	row	lambda	selected	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.4	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.5	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.6	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.7	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.8	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	0.9	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	temporal-raw	1.0	False	0.02109704641350211	0.0	0.020833333333333332	0.0
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	earliest-top5	0.0	True	0.016877637130801686	0.12236286919831224	0.0	0.0625
correct-error	qwen3.5-9b	math500	17,18,19	act/7	0	20	soap		True	0.6118143459915611	0.6033755274261603	0.5416666666666666	0.5416666666666666
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	base	0.0	True	0.7971014492753623	0.8188405797101449	0.6666666666666667	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.1	False	0.7898550724637681	0.8188405797101449	0.6666666666666667	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.2	False	0.7898550724637681	0.8188405797101449	0.6491228070175439	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.3	False	0.7898550724637681	0.8188405797101449	0.6491228070175439	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.4	False	0.7971014492753623	0.8260869565217391	0.6491228070175439	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.5	False	0.7971014492753623	0.8260869565217391	0.6491228070175439	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.6	False	0.7971014492753623	0.8260869565217391	0.6491228070175439	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.7	True	0.7971014492753623	0.8260869565217391	0.6491228070175439	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.8	False	0.7971014492753623	0.8188405797101449	0.631578947368421	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	0.9	False	0.7898550724637681	0.8188405797101449	0.631578947368421	0.7368421052631579
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-z	1.0	False	0.7826086956521741	0.8188405797101449	0.6491228070175439	0.7543859649122806
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.1	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.2	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.3	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.4	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.5	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.6	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.7	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.8	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	0.9	False	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	temporal-raw	1.0	True	0.036231884057971016	0.0	0.10526315789473684	0.0
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	earliest-top5	0.0	True	0.028985507246376812	0.07971014492753623	0.08771929824561403	0.15789473684210525
correct-error	qwen3.5-9b	mmlu_pro	17,18,19	act/11	0	3	soap		True	0.7971014492753623	0.818840579710145	0.6666666666666666	0.7368421052631579
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	base	0.0	True	0.4358974358974359	0.7371794871794872	0.41798941798941797	0.6931216931216931
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.1	True	0.4337606837606838	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.2	False	0.43162393162393164	0.732905982905983	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.3	False	0.43162393162393164	0.732905982905983	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.4	False	0.43162393162393164	0.7307692307692308	0.4074074074074074	0.6878306878306878
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.5	False	0.4294871794871795	0.7307692307692308	0.4021164021164021	0.6825396825396826
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.6	False	0.4230769230769231	0.7286324786324787	0.4021164021164021	0.6825396825396826
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.7	False	0.41880341880341876	0.7243589743589745	0.4021164021164021	0.671957671957672
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.8	False	0.41880341880341876	0.7222222222222222	0.4021164021164021	0.671957671957672
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	0.9	False	0.41880341880341876	0.7200854700854701	0.3968253968253968	0.6666666666666666
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-z	1.0	False	0.41239316239316237	0.7200854700854701	0.3968253968253968	0.6666666666666666
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.1	True	0.43803418803418803	0.7371794871794872	0.41798941798941797	0.6931216931216931
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.2	False	0.4358974358974359	0.7350427350427351	0.41798941798941797	0.6931216931216931
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.3	False	0.4358974358974359	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.4	False	0.4358974358974359	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.5	False	0.4337606837606838	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.6	False	0.4337606837606838	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.7	False	0.4337606837606838	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.8	False	0.4337606837606838	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	0.9	False	0.4337606837606838	0.7350427350427351	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	temporal-raw	1.0	False	0.4337606837606838	0.732905982905983	0.4126984126984127	0.6878306878306879
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	earliest-top5	0.0	True	0.09615384615384616	0.5491452991452992	0.1111111111111111	0.5026455026455026
correct-error	qwen3.5-9b	musique	17,18,19	act/3	1	3	soap		True	0.4358974358974358	0.7371794871794872	0.4179894179894179	0.693121693121693
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	base	0.0	True	0.5013623978201635	0.7002724795640327	0.47845804988662133	0.7188208616780045
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.1	True	0.4995458673932788	0.7020890099909174	0.47619047619047616	0.7210884353741497
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.2	False	0.49863760217983655	0.7020890099909174	0.47845804988662133	0.7188208616780045
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.3	False	0.49682107175295187	0.7029972752043597	0.47845804988662133	0.7233560090702948
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.4	False	0.49591280653950953	0.7020890099909174	0.47392290249433106	0.7210884353741497
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.5	False	0.4931880108991825	0.7020890099909174	0.4671201814058957	0.7188208616780045
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.6	False	0.49137148047229795	0.6993642143505904	0.4693877551020408	0.7165532879818595
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.7	False	0.4895549500454133	0.6993642143505904	0.47165532879818595	0.7120181405895692
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.8	False	0.4877384196185286	0.6993642143505904	0.47165532879818595	0.7165532879818595
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	0.9	False	0.4877384196185286	0.7002724795640327	0.46258503401360546	0.7165532879818595
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-z	1.0	False	0.483197093551317	0.6993642143505904	0.46031746031746035	0.7165532879818595
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.1	True	0.4750227066303361	0.6966394187102635	0.46258503401360546	0.7142857142857143
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.2	False	0.43415077202543145	0.6884650317892825	0.41950113378684806	0.6984126984126984
correct-error	qwen3.5-9b	wikimqa	17,18,19	act/15	1	3	temporal-raw	0.3	False	0.35513169845594916	0.6766575840145324	0.36054421768707484	0.6870748299319728
