column	with_gt	judge	method	step_acc	agent_acc	n_subsets	family	train_seed
CE	True	qwen3.5-9b	stepfinder.s42	0.29142601836213666	0.5772137779604989	7	stepfinder	42
CE	True	qwen3.5-9b	stepfinder.s43	0.27356791955999504	0.5661850641769445	7	stepfinder	43
CE	True	qwen3.5-9b	stepfinder.s44	0.34675792230446806	0.5800087385009823	7	stepfinder	44
CE	True	qwen3.5-9b	stepfinder.s45	0.1757379339504865	0.49577626487340004	7	stepfinder	45
CE	True	qwen3.5-9b	stepfinder.s46	0.33844759112885875	0.5856098085863434	7	stepfinder	46
TE-Cap	False	deepseek-8b	oat.s42	0.17829457364341086	0.5193798449612402	1	oat	42
TE-Cap	False	deepseek-8b	oat.s43	0.16279069767441862	0.49612403100775193	1	oat	43
TE-Cap	False	deepseek-8b	oat.s44	0.17829457364341086	0.4573643410852713	1	oat	44
TE-Cap	False	deepseek-8b	oat.s45	0.20155038759689922	0.5116279069767442	1	oat	45
TE-Cap	False	deepseek-8b	oat.s46	0.17829457364341086	0.5193798449612403	1	oat	46
TE-Cap	False	deepseek-8b	stepfinder.s42	0.18604651162790697	0.5658914728682171	1	stepfinder	42
TE-Cap	False	deepseek-8b	stepfinder.s43	0.11627906976744186	0.37209302325581395	1	stepfinder	43
TE-Cap	False	deepseek-8b	stepfinder.s44	0.046511627906976744	0.2558139534883721	1	stepfinder	44
TE-Cap	False	deepseek-8b	stepfinder.s45	0.2170542635658915	0.5038759689922481	1	stepfinder	45
TE-Cap	False	deepseek-8b	stepfinder.s46	0.17054263565891473	0.5581395348837209	1	stepfinder	46
TE-Cap	False	qwen3-embedding-0.6b	stepfinder.s42	0.20930232558139536	0.46511627906976744	1	stepfinder	42
TE-Cap	False	qwen3-embedding-0.6b	stepfinder.s43	0.20155038759689922	0.5581395348837209	1	stepfinder	43
TE-Cap	False	qwen3-embedding-0.6b	stepfinder.s44	0.18604651162790697	0.44961240310077516	1	stepfinder	44
TE-Cap	False	qwen3-embedding-0.6b	stepfinder.s45	0.15503875968992248	0.4883720930232558	1	stepfinder	45
TE-Cap	False	qwen3-embedding-0.6b	stepfinder.s46	0.14728682170542637	0.5038759689922481	1	stepfinder	46
TE-Cap	False	qwen3.5-9b	oat.s42	0.14728682170542637	0.4883720930232558	1	oat	42
TE-Cap	False	qwen3.5-9b	oat.s43	0.13953488372093023	0.49612403100775193	1	oat	43
TE-Cap	False	qwen3.5-9b	oat.s44	0.1627906976744186	0.5038759689922481	1	oat	44
TE-Cap	False	qwen3.5-9b	oat.s45	0.17054263565891473	0.4186046511627907	1	oat	45
TE-Cap	False	qwen3.5-9b	oat.s46	0.14728682170542637	0.42635658914728686	1	oat	46
